Station Name,IBNR
Aukrug,08003078
Aulendorf,08000014
Aumenau,08000668
Aumühle,08000669
Aurich ZOB,08000670
Aurich ZOB NE,08007346
Auringen-Medenbach,08000671
Außenried,08000672
Autobahnrastplatz Recknitz-Niederung Ost,08070970
Autobahnrastplatz Recknitz-Niederung West,08070971
Auw an der Kyll,08000674
Aying,08000675
Baabe,08011063
Baalberge,08010013
Baar-Ebenhausen,08000678
Babenhausen Langstadt,08003559
Babenhausen(Hess),08000015
Babstadt,08000681
Babstadt Ort,08070919
Bacharach,08000683
Bacharach KD,08075964
Bachem,08000224
Bachern,08000685
Bachfeld,08011065
Bachheim,08000686
Backnang,08000016
Bad Abbach,08000689
Bad Aibling,08000690
Bad Aibling Kurpark,08000696
Bad Arolsen,08000609
Bad Bederkesa,08070050
Bad Bellingen,08000864
Bad Belzig,08010031
Bad Bentheim,08000879
Bad Bentheim(Gr),08000151
Bad Bergzabern,08000691
Bad Berka,08011066
Bad Berka Zeughausplatz,08011067
Bad Berleburg,08000907
Bad Bevensen,08000935
Bad Birnbach,08000988
Bad Blankenburg(Thüringerw),08010014
Bad Bocklet,08000396
Bad Bodendorf,08001049
Bad Bodenteich,08001052
Bad Brambach,08011068
Bad Bramstedt,08007058
Bad Bramstedt Kurhaus,08007057
Bad Breisig,08000694
Bad Breisig KD,08075948
Bad Brückenau,08001211
Bad Camberg,08001322
Bad Doberan,08010016
Bad Doberan Goethestraße,08011069
Bad Doberan Stadtmitte,08081085
Bad Driburg(Westf),08000697
Bad Düben(Mulde),08011070
Bad Dürkheim,08000698
Bad Dürkheim Ost,08007569
Bad Dürkheim RHB,08007568
Bad Dürkheim-Trift,08000708
Bad Dürrenberg,08011071
Bad Elster,08011072
Bad Empfing,08000700
Bad Ems,08000701
Bad Ems West,08000702
Bad Endorf,08001787
Bad Essen,08070307
Bad Fallingbostel,08001958
Bad Frankenhausen,08011073
Bad Freienwalde,08010017
Bad Friedrichshall-Jagstfeld,08000017
Bad Friedrichshall-Kochendorf,08000704
"Bad Füssing, Füssinger Hof$Füssing Bad",08084075
Bad Gandersheim,08000352
Bad Griesbach(Schwarzwald),08000707
Bad Grönenbach,08002378
Bad Harzburg,08000019
Bad Herrenalb,08007011
Bad Hersfeld,08000020
Bad Höhenstadt,08000710
Bad Homburg,08000712
Bad Honnef(Rhein),08000713
Bad Honnef(Rhein) KD,08075944
Bad Hönningen,08000711
Bad Hönningen KD,08075949
Bad Iburg Bf,08070308
Bad Imnau,08070309
Bad Karlshafen,08003182
Bad Kissingen,08000714
Bad Kleinen,08010018
Bad Kohlgrub,08000716
Bad Kohlgrub Kurhaus,08000717
Bad König,08000715
Bad König Zell,08006643
Bad Kösen,08010019
Bad Köstritz,08011074
Bad Kötzting,08003393
Bad Kreuznach,08000021
Bad Krozingen,08000718
Bad Krozingen Ost,08007330
Bad Laasphe,08003486
Bad Laasphe-Niederlaasphe,08003493
Bad Laer,08070310
Bad Langensalza,08010020
Bad Lauchstädt,08011075
Bad Lauchstädt West,08011076
Bad Lausick,08011077
Bad Lauterberg,08000719
Bad Lauterberg im Harz Barbis,08005324
Bad Liebenwerda,08011078
Bad Liebenzell,08000721
Bad Lobenstein,08013452
Bad Malente-Gremsmühlen,08003829
Bad Mergentheim,08000724
Bad Münder(Deister),08000725
Bad Münster a Stein,08000726
Bad Münstereifel,08000727
Bad Nauheim,08000728
Bad Nenndorf,08000022
Bad Neuenahr,08000729
Bad Neustadt(Saale),08000730
Bad Niedernau,08000731
Bad Oeynhausen,08000732
Bad Oeynhausen Süd,08000733
Bad Oldesloe,08000023
Bad Peterstal,08000734
Bad Pyrmont,08000735
Bad Rappenau,08000736
Bad Rappenau Busbahnhof Raiffeisenstraße,08070924
Bad Reichenhall,08000737
Bad Reichenhall-Kirchberg,08000738
Bad Rodach,08005112
Bad Rotenfels Bf,08005183
Bad Rotenfels Schloss,08005186
Bad Rotenfels Weinbrennerstraße,08005187
Bad Saarow Klinikum,08010028
Bad Saarow-Pieskow,08011079
Bad Sachsa,08000739
Bad Säckingen,08005255
Bad Salzdetfurth,08000740
Bad Salzdetfurth Solebad,08000759
Bad Salzhausen,08000741
Bad Salzig KD,08075959
Bad Salzschlirf,08000743
Bad Salzuflen,08000744
Bad Salzungen,08010021
Bad Sassendorf,08000745
Bad Saulgau,08005301
Bad Schandau,08010022
Bad Schlema,08012873
Bad Schmiedeberg,08011081
Bad Schmiedeberg Kurzentrum,08070831
Bad Schönborn Süd,08003533
Bad Schönborn-Kronau,08004032
Bad Schussenried,08000746
Bad Schussenried Kloster,08070747
Bad Schwalbach NTB,08070313
Bad Schwartau,08000749
Bad Sebastiansweiler-Belsen,08000750
Bad Segeberg,08000751
Bad Sobernheim,08005583
Bad Soden(Taunus),08000752
Bad Soden-Salmünster,08005261
Bad Sooden-Allendorf,08000753
Bad St Peter Süd,08000754
Bad St Peter-Ording,08000755
Bad Staffelstein,08005670
Bad Steben,08000756
Bad Suderode,08011084
Bad Sulza,08011085
Bad Sulza Nord,08011086
Bad Teinach-Neubulach,08000757
Bad Tölz,08000758
Bad Tönisstein,08070314
Bad Urach,08006029
Bad Urach Ermstalklinik,08006027
Bad Urach Wasserfall,08070680
Bad Vilbel,08000760
Bad Vilbel Süd,08000761
