IBNR,Station Name
8002248,Gernsbach Bf
8002249,Gernsheim
8002250,Gernsbach Mitte
8002251,Geroldshausen
8002254,Gersfeld(Rhön)
8002256,Gersthofen
8002259,Gertenbach
8002259,Witzenhausen-Gertenb
8002262,Geseke
8002263,Gessertshausen
8002265,Gettenau-Bingenheim
8002266,Gettorf
8002267,Gevelsberg Hbf
8002268,Gevelsberg West
8002269,Gießen Oswaldsgarten
8002272,Giengen(Brenz)
8002274,Gifhorn Stadt
8002275,Gilching-Argelsried
8002278,Gingen(Fils)
8002280,Girod
8002281,Gittelde/Bad Grund(Harz)
8002281,Bad Grund(Harz)/Gittelde
8002283,Gladbeck Ost
8002284,Gladbeck-Zweckel
8002286,Glan-Münchweiler
8002287,Glanzstoffwerke
8002288,Glauburg-Glauberg
8002288,Glauberg(Glauburg)
8002290,Glesch
8002293,Glückstadt
8002296,Goch
8002299,Godelheim
8002299,Höxter-Godelheim
8002300,Godramstein
8002301,Göbelnrod
8002301,Grünberg-Göbelnrod
8002304,Göhrde
8002306,Gölshausen Industriegebiet
8002307,Gölshausen
8002307,Bretten-Gölshausen
8002312,Görschnitz
8002315,Dreieich-Götzenhain
8002319,Gokels
8002320,Goldenstedt(Oldb)
8002321,Goldhausen
8002326,Gondelsheim(Baden)
8002329,Gosberg
8002332,Goßfelden
8002332,Lahntal-Goßfelden
8002333,Goßmannsdorf
8002334,Gottenheim
8002335,Gotteszell
8002337,Gottmadingen
8002339,Gräfelfing
8002340,Gräfenberg
8002341,Gräfendorf
8002342,Gräveneck
8002343,Grafenaschau
8002344,Grafenau
8002344,GRA
8002345,Graben-Neudorf Nord
8002346,Graben(Lechfeld)Gewerbepark
8002347,Grafing Bahnhof
8002348,Grafing Stadt
8002349,Grafling-Arzting
8002351,Grafrath
8002358,Grebenstein
8002365,Grenzach
8002365,Grenzach-Wyhlen Grenzach
8002369,Greven
8002370,Lennestadt-Grevenbrück
8002373,Grießen(Baden)
8002373,Klettgau-Grießen(Ba)
8002374,Edermünde-Grifte
8002374,Grifte
8002377,Gröbenzell
8002378,Bad Grönenbach
8002378,Grönenbach Bad
8002380,Grombach
8002380,Bad Rappenau-Grombac
8002382,Bad Vilbel-Gronau
8002382,Gronau(Hess-Nass)
8002383,Gronsdorf
8002383,München-Gronsdorf
8002386,Groß Gerau-Dornberg
8002386,Gerau-Dornberg Groß
8002388,Groß Karben
8002388,Karben Groß
8002389,Frechen-Königsdorf
8002389,Groß Königsdorf
8002391,Groß Rohrheim
8002391,Rohrheim Groß
8002393,Groß-Umstadt Mitte
8002393,Umstadt Groß
8002399,Großarmschlag
8002400,Großauheim(Kr Hanau)
8002400,Hanau-Großauheim
8002402,Großbüllesheim
8002402,Euskirchen-Großbüll
8002403,Großburgwedel
8002405,Groß Düngen
8002405,Bad Salzdetfurth-Gro
8002409,Großen Buseck
8002410,Großen Linden
8002410,Linden-Großen Linden
8002411,Großenbrode
8002412,Großenkneten
8002413,Großenlüder
8002416,Großgeschaidt
8002416,Heroldsbg-Großgesch.
8002420,Großhelfendorf
8002422,Großhesselohe Isartalbf
8002422,Pullach-Großhesseloh
8002424,Großkarolinenfeld
8002425,Großkrotzenburg
8002430,Heddesheim/Hirschberg
8002430,Heddesheim-Großsach.
8002430,Hirschberg-Heddeshm.
8002432,Großwalbur
8002432,Meeder-Großwalbur
8002434,Grub am Forst
8002435,Grub(Oberbay)
8002436,Grub(Oberpf)
8002439,Grünberg(Oberhess)
8002439,Grünberg(Hessen)
8002441,Grünebach Ort
8002442,Grünebacherhütte
8002444,Grünstadt Nord
8002445,Grüntal-Wittlensweiler
8002447,Grünsfeld
8002448,Grunbach
8002448,Remshalden-Grunbach
8002454,Koblenz-Güls
8002454,Güls(Kr Koblenz)
8002457,Gündlkofen
8002458,Günzach
8002461,Gütersloh Hbf
8002461,GT
8002462,Gummersbach
8002462,GM
8002465,Gundelfingen(Breisgau)
8002466,Gundelfingen(Bay)
8002467,Gundelsdorf
8002468,Gundelshausen
8002470,Gundelsheim(Neckar)
8002473,Gundersheim(Rheinhess)
8002474,Guntersblum
8002477,Gustorf
8002477,Grevenbroich-Gustorf
8002478,Gutach(Breisgau)
8002480,Gutach Freilichtmuseum
8002484,Guxhagen
8002489,Lörrach-Haagen/Messe
8002490,Haan
8002491,Haar
8002494,Hachenburg
8002495,Hadamar
8002496,Hademarschen
8002498,Hähnlein-Alsbach
8002499,Hämelerwald
8002499,Lehrte-Hämelerwald
8002501,Häuserhof
8002501,Nidda-Häuserhof
8002504,Haffkrug
8002504,Scharbeutz-Haffkrug
8002506,Hagelstadt
8002507,Hagen(Han)
8002507,Neustadt aR-Hagen
8002509,Gevelsberg-Kipp
8002512,Hagen-Heubing
8002514,Hagen-Oberhagen
8002515,Hagenbach
8002517,Hagenbüchach
8002518,Hahn Flughafen Terminal 2
8002520,Feucht-Moosbach
8002523,Haidenaab-Göppmannsbühl
8002524,Haiger Obertor
8002526,Hailer-Meerholz
8002526,Gelnhausen-Hailer-M.
8002527,Haine Bahnhof
8002528,Rodgau-Hainhausen
8002529,Hainstadt(Baden)
8002531,Hainburg Hainstadt
8002531,Hainstadt(Kr Offenb)
8002532,Haitz-Höchst
8002532,Gelnhausen-Haitz-H.
8002533,Halbmeil
8002533,Wolfach-Halbmeil
8002534,Hallbergmoos
8002536,Haldern(Rheinl)
8002537,Halen
8002537,Lotte-Halen
8002539,Halle(Westf)
8002542,Hallstadt(b Bamberg)
8002545,Halstenbek
8002546,Haltingen
8002547,Hamburg Airport
8002547,Flughafen Hamburg
8002547,HAM Hamburg Airport
8002547,Flughafen Hamburg
8002547,Hamburg Flughafen
8002548,Hamburg Dammtor
8002549,Hamburg Hbf
8002549,Hambourg (Hbf)
8002549,HHH
8002549,Amburgo(Hamburg)
8002550,Hamburg Holstenstraße
8002553,Hamburg-Altona
8002554,Hamburg-Bergedorf
8002554,HHBD
8002555,Hamburg-Eidelstedt
8002556,Hamburg-Fischbek
8002557,Hamburg-Neugraben
8002558,Hamburg-Rahlstedt
8002559,Hamburg-Stellingen
8002560,Hamburg-Wandsbek
8002561,Hamburg-Wilhelmsburg
8002565,Hammah
8002567,Hammelburg
8002567,HAB
8002568,Hammelburg Ost
8002570,Hammerau
8002570,Ainring-Hammerau
8002571,Hamminkeln
8002572,Hanau Nord
8002573,Hanau West
8002574,Hanau-Wilhelmsbad
8002575,Handeloh
8002578,Happurg
8002580,Hannover Bismarckstr.
8002581,Hannover-Bornum
8002584,Hannover-Kleefeld
8002585,Hannover-Leinhausen
8002586,Hannover-Linden/Fischerhof
8002587,Hanweiler(Gr)
8002589,Hannover Flughafen
8002589,HAJ Hanover Airport
8002589,Flughafen Hannover
8002592,Harblek
8002592,Oldenswort-Harblek
8002593,Harburg(Schwab)
8002594,Hardegsen
8002596,Hardhof
8002598,Haren(Ems)
8002600,Harlesiel
8002600,Wittmund-Harlesiel
8002605,Harsdorf
8002607,Harsum
8002609,Hartershofen
8002610,Harthaus
8002610,Germering-Harthaus
8002612,Hartmannshof
8002615,Hasbergen
8002621,Haslach
8002622,Hasloch(Main)
8002623,Haspelmoor
8002623,Hattenhofen-Haspelm.
8002625,Hassel(Saar)
8002625,St Ingbert-Hassel
8002627,Hasselborn
8002628,Hamburg Hasselbrook
8002630,Haßfurt
8002630,HAS
8002632,Haßloch(Pfalz)
8002633,Haßmersheim
8002634,Haste
8002635,Hattenheim
8002635,Eltville-Hattenheim
8002637,Hattersheim(Main)
8002638,Hattert
8002639,Hattingen(Ruhr)
8002640,Hattingen(R) Mitte
8002641,Hattorf
8002643,Hatzenport
8002643,Löf-Hatzenport
8002648,Hauenstein Mitte
8002649,Hauenstein(Pfalz)
8002651,Haupeltshofen
8002651,Aletshausen-Haupelts
8002655,Hauptstuhl
8002656,Hausen i Tal
8002656,Beuron-Hausen im Tal
8002664,Hausen(Schwab)
8002666,Hausen-Raitbach
8002666,Schopfheim-Hausen-R
8002667,Hausham
8002670,Havixbeck
8002671,Hebertsfelden
8002673,Hechingen
8002673,HCH
8002674,Hechthausen
8002675,Ahnatal-Heckershausen
8002677,Hedemünden
8002677,Münden-Hedemünden
8002677,Hann.Münden-Hedemü
8002678,Hedersdorf
8002678,Schnaittach-Hedersd.
8002680,Heessen
8002681,Heidelberg-Weststadt/Südstadt
8002682,Heggen
8002682,Finnentrop-Heggen
8002683,Hegne
8002683,Allensbach-Hegne
8002684,Heidelberg Orthopädie
8002685,Heidelberg-Altstadt
8002685,Heidelberg Karlstor
8002686,Heidelberg-Kirchheim/Rohrbach
8002687,Heidelberg-Pfaffengrund/Wieblingen
8002688,Heidelsheim
8002689,Heidenheim
8002689,HDH
8002689,Heidenheim a d Brenz
8002690,Heidenheim-Mergelstetten
8002691,Heidenheim-Schnaitheim
8002692,Heidesheim(Rheinhess)
8002694,Heidkrug
8002695,Schortens-Heidmühle
8002696,Heigenbrücken
8002699,Heilbronn Sülmertor
8002700,Heilbronn Trappensee
8002703,Heiligenstatt(Obb)
8002704,Heiligenstein(Pfalz)
8002704,Römerberg-Heiligenst
8002705,Heilsbronn
8002707,Heimbach(Nahe)
8002710,Heimenkirch
8002711,Heimersheim
8002711,Bad Neuenahr-Heimers
8002715,Heimstetten
8002715,Kirchheim-Heimstett.
8002716,Heinebach
8002716,Alheim-Heinebach
8002718,Heinsberg-Randerath
8002719,Heinsberg-Horst
8002720,Heinsberg-Porselen
8002721,Heinsberg(Rheinl)
8002721,HS
8002722,Heilbronn Theater
8002723,Heilbronn Industrieplatz
8002724,Heinzenhausen
8002725,Heinsberg Kreishaus
8002726,Heilbronn Kaufland
8002726,Neckarsulm Kaufland
8002727,Heitersheim
8002733,Helmbrechts
8002734,Helmsheim
8002737,Helpup
8002745,Hemmerde
8002746,Hemmersdorf(Saar)
8002746,Rehlingen-S.-Hemmers
8002748,Hemsbach
8002751,Henfenfeld
8002753,Hennef(Sieg)
8002754,Hennen
8002754,Iserlohn-Hennen
8002757,Heppenheim(Bergstr)
8002757,HP
8002760,Herbertingen Ort
8002761,Herbertshofen
8002761,Meitingen-Herbertsh.
8002762,Herblingen
8002763,Herbolzheim(Breisg)
8002764,Herbolzheim(Jagst)
8002764,Neudenau-Herbolzh.
8002766,Herbrechtingen
8002768,Herchen
8002768,Windeck-Herchen
8002769,Herdecke
8002770,Herdorf
8002773,Hergershausen
8002773,Babenhausen-Hergersh
8002775,Hennef im Siegbogen
8002776,Hermaringen
8002779,Herne-Börnig
8002782,Heroldsberg
8002783,Heroldsberg Nord
8002784,Herrath
8002784,Mönchengladbach-Her
8002785,Herrenberg
8002786,Herrenberg Zwerchweg
8002789,Herrlingen
8002792,Herrsching
8002793,Hersbruck(l Pegnitz)
8002794,Hersbruck(r Pegnitz)
8002797,Herten(Baden)
8002797,Rheinfelden-Herten
8002798,Herxheim am Berg
8002800,Herzberg Schloß
8002801,Herzebrock
8002802,Vöhl-Herzhausen
8002804,Herzogenrath-Alt-Merkstein
8002804,Merkstein West
8002806,Herzogenrath
8002808,Heselbach
8002810,Hesseln
8002812,Hessisch Oldendorf
8002813,Höchst Hetschbach
8002814,Hettenhausen
8002814,Gersfeld-Hettenhaus.
8002815,Beerfelden Hetzbach
8002815,Hetzbach Beerfelden
8002816,Herzogenrath-August-Schmidt-Platz
8002816,Merkstein
8002817,Hetzerath
8002820,Heufeld
8002820,Bruckmühl-Heufeld
8002821,Heufeldmühle
8002821,Bruckmühl-Heufeldmühle
8002822,Heusenstamm
8002824,Hiddenhausen-Schweicheln
8002824,Hiddenhausen-Schwei.
8002826,Hilchenbach
8002827,Hildbrandsgrün
8002827,Münchberg-Hildbran.
8002828,Hilden Süd
8002830,Hildesheim Ost
8002835,Hillnhütten
8002835,Hilchenbach-Hillnhü
8002837,Hilpertsau
8002837,Gernsbach-Hilpertsau
8002838,Hilpoltstein
8002838,HIP
8002839,Hilter
8002841,Münster-Hiltrup
8002843,Himmelpforten
8002844,Himmelreich
8002844,Kirchzarten-Himmelr.
8002845,Himmelstadt
8002847,Hinterweidenthal
8002848,Hinterzarten
8002850,Hinrichssegen
8002850,Bruckmühl-Hinrichssegen
8002852,Hirsau
8002852,Calw-Hirsau
8002853,Hirschaid
8002856,Hirschfelden
8002856,Krumbach-Hirschfeld.
8002857,Hirschhorn(Neckar)
8002858,Hirschhorn(Pfalz)
8002861,Boppard-Hirzenach
8002861,Hirzenach(Boppard)
8002864,Hittfeld
8002865,Hitzacker
8002868,Hochdahl
8002868,Erkrath-Hochdahl
8002869,Hochdahl-Millrath
8002869,Erkrath-Hochd.-Mill.
8002871,Hochhausen(Tauber)
8002871,Tauberbischofsh.-Ho.
8002872,Hochheim(Main)
8002873,Hamburg Hochkamp
8002875,Hochspeyer
8002877,Maintal Ost
8002877,Maintal-Dörnigheim
8002877,Hochstadt-Dörnigh.
8002878,Hochstadt-Marktzeuln
8002879,Hochstätten(Pfalz)
8002880,Hochstetten(Nahe)
8002881,Hochwang
8002881,Ichenhausen-Hochwang
8002883,Hockenheim
8002884,Hodenhagen
8002886,Altenstadt-Höchst
8002888,Höchstädt(Donau)
8002891,Höfen(Enz) Bf
8002892,Höfingen
8002892,Leonberg-Höfingen
8002894,Höhenkirchen-Siegertsbrunn
8002895,Höhmühlbach
8002898,Höllenthal
8002898,Lichtenberg-Höllen.
8002899,Höllriegelskreuth
8002899,Pullach-Höllriegel.
8002903,Wildeck-Hönebach
8002908,Höpfling
8002909,Hamburg-Hörgensweg
8002910,Hörden
8002910,Gaggenau-Hörden
8002912,Hörlkofen
8002914,Hörpolding
8002914,Traunreut-Hörpoldi.
8002915,Hörstel
8002916,Hörstmar(Lippe)
8002918,Hösbach
8002919,Hösel
8002920,Hövelhof
8002921,Hövelriege
8002923,Höxter Rathaus
8002923,HX
8002924,Hof Hbf
8002924,HO
8002927,Hof-Neuhof
8002929,Hofeld
8002930,Hofen(b Aalen)
8002930,Aalen-Hofen
8002931,Hoffenheim
8002931,Sinsheim-Hoffenheim
8002932,Hoffnungsthal
8002932,Rösrath-Hoffnungst.
8002933,Hofgeismar
8002933,HOG
8002934,Hofheim (Ried)
8002934,Lampertheim-Hofheim
8002935,Hofheim(Taunus)
8002939,Hohegrete
8002940,Hohenbrunn
8002941,Krefeld-Hohenbudberg Chempark
8002944,Hoheneggelsen
8002944,Söhlde-Hoheneggels.
8002946,Hamburg Hoheneichen
8002953,Hohenlimburg
8002953,Hagen-Hohenlimburg
8002954,Hohenpeißenberg
8002955,Hohenschäftlarn
8002956,Hohenstadt(Mittelfr)
8002956,Pommelsbrunn-Hohens.
8002958,Hohensülzen
8002959,Hohenwestedt
8002962,Holdorf(Oldb)
8002967,Holm-Seppensen
8002969,Holtensen/Linderte
8002972,Rosendahl-Holtwick
8002976,Holzhausen(Kr Siegen)
8002978,Holzhausen-Heddinghausen
8002978,Preußisch-Oldend-Ho.
8002979,Holzheim(b Neuss)
8002979,Neuss-Holzheim
8002980,Holzkirchen
8002988,Honrath
8002988,Lohmar-Honrath
8002992,Hoppecke
8002994,Hoppingen
8002994,Harburg-Hoppingen
8002995,Hoppstädten(Nahe)
8002998,Horb-Heiligenfeld
8003000,Horn-Bad Meinberg
8003001,Hornberg(Schwarzw)
8003002,Horneburg
8003003,Horst(Holst)
8003008,Hoykenkamp
8003008,Ganderkesee-Hoykenk.
8003010,Hubacker
8003010,Lautenbach-Hubacker
8003014,Hüfingen Mitte
8003015,Hofgeismar-Hümme
8003016,Hünfeld
8003016,HÜN
8003018,Siegen-Geisweid
8003020,Siegen-Weidenau
8003021,Hüttingen
8003022,Hulb
8003023,Hufschlag
8003024,Huglfing
8003025,Hugstetten
8003025,March-Hugstetten
8003030,Huntlosen
8003032,Husby
8003033,Huttenheim
8003033,Philippsburg-Huttenh
8003034,Huzenbach
8003034,Baiersbronn-Huzenba.
8003035,Ibach
8003035,Oppenau-Ibach
8003036,Ibbenbüren
8003038,Ichenhausen
8003039,Icking
8003040,Idar-Oberstein
8003041,Idstein(Taunus)
8003042,Igel
8003044,Igensdorf
8003045,Igersheim
8003052,Ihringen
8003053,Fuldatal-Ihringshausen
8003053,Ihringshausen
8003057,Illertissen
8003057,ILL
8003058,Illesheim
8003059,Illingen(Saar)
8003060,Illingen(Württ)
8003061,Immendingen Mitte
8003062,Immenhausen
8003063,Immenreuth
8003064,Immensen-Arpke
8003064,"Lehrte,Immensen-Arp."
8003065,Immenstadt
8003066,Immendingen Zimmern
8003070,Imsweiler
8003072,Markt Indersdorf
8003072,Indersdorf
8003073,Ingelbach
8003075,Ingelheim
8003076,Ingolstadt Nord
8003078,Aukrug
8003079,Inningen
8003079,Augsburg-Inningen
8003080,Insheim
8003081,Iphofen
8003083,Ipsheim
8003086,Irrenlohe
8003088,Hamburg-Iserbrook
8003090,Iserlohnerheide
8003091,Isernhagen
8003092,Ismaning
8003094,Ispringen
8003096,Isselhorst-Avenwedde
8003098,Istein
8003100,Ittling
8003101,Ittlingen
8003102,Itzehoe
8003102,IZ
8003103,Itzelberg
8003104,Bad Münstereifel-Iversheim
8003106,Jägerhaus
8003108,Jägersfreude
8003111,Jagstzell
8003115,Jarrenwisch
8003115,Oesterwurth-Jarrenw.
8003122,Jettenbach
8003123,Jettingen
8003124,Jever
8003124,JEV
8003125,Jockgrim Bf
8003127,Jöhlingen
8003127,Walzbachtal-Jöhling
8003129,Jossa
8003129,Sinntal-Jossa
8003130,Jüchen
8003131,Rodgau-Jügesheim
8003135,Jünkerath
8003136,Julbach
8003137,Hamburg Jungfernstieg
8003141,Kaarster Bahnhof
8003143,Kahl(Main)
8003144,Hesseneck Kailbach
8003144,Kailbach Hesseneck
8003146,Kainzenbad
8003148,Kaisersesch
8003150,Kaiserslautern Pfaffwerk
8003151,Kaiserslautern West
8003154,Kalchreuth
8003155,Venlo(Gr)
8003155,Kaldenkirchen(Gr)
8003158,Kall
8003160,Hürth-Kalscheuren
8003160,Kalscheuren
8003165,Langenhagen-Kaltenweide
8003165,Kaltenweide Langenh.
8003166,Kalthof(Kr Iserlohn)
8003166,Iserlohn-Kalthof
8003168,Kamen
8003169,Kamen-Methler
8003170,Kamp-Bornhofen
8003172,Kandel
8003173,Kanzem
8003174,Kapellen-Wevelinghoven
8003174,Grevenbroich-Kapell.
8003175,Kapellen-Drusweiler
8003179,Treis-Karden
8003181,Karlsdorf
8003182,Bad Karlshafen
8003182,Karlshafen Bad
8003183,Karlsruhe West
8003184,Karlsruhe-Durlach
8003185,Karlsruhe-Hagsfeld
8003186,Karlsruhe-Knielingen
8003187,Karlsruhe-Mühlburg
8003189,Karlstadt(Main)
8003189,KAR
8003191,Karpfham
8003191,Karpfham (b Bad Griesbach i.Rottal) Bahnhof
8003191,Bad Griesbach-Karpfh
8003196,Kassel-Harleshausen
8003197,Kassel-Jungfernkopf
8003198,Kassel-Kirchditmold
8003199,Kassel-Oberzwehren
8003200,Kassel-Wilhelmshöhe
8003200,KSW
8003205,Kastl(Oberbay)
8003207,Katharinenheerd
8003208,Kating
8003208,Tönning-Kating
8003209,Katlenburg
8003211,Kattenes
8003211,Löf-Kattenes
8003212,Kattenvenne
8003213,Katzenfurt
8003214,Katzwang
8003215,Katzweiler
8003216,Kaub
8003218,Kehl
8003218,KEL
8003220,Kehlen
8003220,Meckenbeuren-Kehlen
8003222,Keitum
8003227,Kellmünz
8003228,Kelsterbach
8003229,Kemnath-Neustadt
8003230,Kempten(Allgäu)Ost
8003232,Kennelgarten
8003233,Kenzingen
8003235,Kerkerbach
8003235,Runkel-Kerkerbach
8003238,Kersbach
8003241,Kestert
8003245,Kettwig Stausee
8003247,Kevelaer
8003248,Kiebingen
8003248,Rottenburg-Kiebingen
8003249,Kiefersfelden
8003251,Kiel Schulen am Langsee
8003252,Kierberg
8003253,Kiel-Russee
8003255,Schöneck-Kilianstädten
8003255,Kilianstädten(Schö.)
8003256,Kinding(Altmühltal)
8003257,Kindsbach
8003262,Kirch Göns
8003263,Kirchanschöring
8003266,Kirchberg(Murr)
8003267,Kirchdorf(Deister)
8003267,Barsinghausen-Kirchd
8003268,Kirchehrenbach
8003270,Kirchenlamitz Ost
8003272,Kirchentellinsfurt
8003276,Kirchhammelwarden
8003278,Kirchheim(Neckar)
8003280,Kirchheim(Teck)
8003282,Kirchheim(Teck)-Ötlingen
8003283,Kirchheim(Teck)Süd
8003284,Kirchheim(Unterfr)
8003285,Kirchheim(Weinstr)
8003286,Kirchhorsten
8003287,Kirchhundem
8003288,Kirchlengern
8003289,Kirschbaumwasen
8003289,Forbach(Schwarzw)-Kirschbaumwasen
8003290,Kirchseeon
8003292,Kirchweyhe
8003293,Kirchzarten
8003294,Kirkel
8003294,Kirkel Bahnhof
8003294,Kirkel-Neuhäusel Bf
8003295,Kirn
8003298,Kirnsulzbach
8003299,Kissing
8003302,Klais
8003302,Krün-Klais
8003303,Klanxbüll
8003309,Klecken
8003310,Köln-Stammheim
8003311,Hanau Klein-Auheim
8003311,Auheim Klein
8003312,Hamburg Klein Flottbek
8003313,Klein Gerau
8003313,Gerau Klein
8003314,Kleinostheim
8003314,Klein Ostheim
8003315,Groß-Umstadt Klein-Umstadt
8003316,Klein Winternheim-Ober Olm
8003316,Winternheim-Ob Klein
8003316,Winternheim Klein Ob
8003316,Ober Olm-Klein Wint.
8003317,Kleinberghofen
8003317,Erdweg-Kleinberghofe
8003320,Köln Trimbornstr
8003321,Kleinenbroich
8003321,Korschenbroich-Klei.
8003323,Kleinensiel
8003324,Kleinheubach
8003325,Kleinkems
8003326,Kleinkötz
8003326,Kötz-Gr.-Kleinkötz
8003329,Kleingemünden
8003330,Köln/Bonn Flughafen
8003330,Flughafen Köln/Bonn
8003330,Bonn/Köln Flughafen
8003330,Köln Bonn Airport
8003330,CGN KölnBonn Airport
8003331,Kleinsteinbach
8003331,Pfinztal-Kleinsteinb
8003332,Knittlingen-Kleinvillars
8003334,Kleinwallstadt
8003336,Brigachtal Klengen
8003337,Klingenberg(Main)
8003338,Klingenbrunn
8003339,Brigachtal Kirchdorf
8003340,Kloster Marienthal
8003341,Koblenz Stadtmitte
8003342,Klosterlechfeld
8003343,Klosterreichenbach
8003343,Baiersbronn-Klosterr
8003344,Klotten
8003345,Friedrichshafen-Kluftern
8003348,Knesebeck
8003348,Wittingen-Knesebeck
8003349,Knöringen-Essingen
8003349,Essingen-Knöringen
8003350,Kobern-Gondorf
8003351,Koblenz-Ehrenbreitstein
8003352,Koblenz-Lützel
8003354,Koblenz-Moselweiß
8003355,Kochel
8003356,Köditz
8003357,Köfering
8003358,Köln Frankfurter Straße
8003360,Köln Geldernstr./Parkgürtel
8003361,Köln Süd
8003362,Köln Volkhovener Weg
8003363,Köln West
8003364,Köln-Buchforst
8003365,Köln-Chorweiler
8003366,Köln-Chorweiler Nord
8003367,Köln-Dellbrück
8003368,Köln Messe/Deutz
8003368,Köln-Deutz
8003368,Cologne-Deutz foires
8003369,Köln-Holweide
8003370,Köln Airport-Businesspark
8003371,Köln-Longerich
8003372,Köln-Nippes
8003373,Köln-Worringen
8003374,Köndringen
8003374,Teningen-Köndringen
8003375,Köln-Müngersdorf Technologiepark
8003376,Königsbach(Baden)
8003376,Stein-Königsbach
8003378,Königsbronn
8003379,Köln Steinstraße
8003381,Königshofen(Baden)
8003382,Königslutter
8003383,Köln-Weiden West
8003385,Königsstollen
8003386,Königswinter
8003388,Körle
8003392,Köln Hansaring
8003393,Bad Kötzting
8003393,KÖZ
8003393,Kötzting Bad
8003394,Kövenig
8003395,Kohlscheid
8003395,Herzogenrath-Kohlsch
8003397,Kolbermoor
8003398,Kollmarsreute
8003399,Kollnau
8003399,Waldkirch-Kollnau
8003400,Konstanz
8003400,KN
8003401,Konstanz-Petershausen
8003402,Konz
8003403,Konz Mitte
8003404,Konstanz-Fürstenberg
8003406,Korbach Süd
8003407,Kordel
8003408,Kork
8003408,Kehl-Kork
8003409,Korntal
8003410,Hamburg Kornweg(Klein Borstel)
8003411,Kornwestheim Pbf
8003412,Korschenbroich
8003413,Kothmaißling
8003414,Meckenheim Kottenforst
8003415,Kottenheim
8003416,Konstanz-Wollmatingen
8003420,Kraghammer
8003424,Kredenbach
8003424,Kreuztal-Kredenbach
8003426,Krefeld-Linn
8003427,Krefeld-Uerdingen
8003429,Kreimbach-Kaulbach
8003429,Kaulbach-Kreimbach
8003430,Krempe
8003431,Kremperheide
8003432,Kressbronn
8003434,Kreuz Konz
8003434,Konz Kreuz
8003436,Kreuzberg(Ahr)
8003436,Altenahr-Kreuzberg
8003438,Kreuzstraße
8003438,Valley-Kreuzstraße
8003440,Euskirchen-Kreuzweingarten
8003442,Kriftel
8003446,Kronach
8003446,KC
8003447,Kronberg(Taunus)
8003452,Kronweiler
8003455,Kruft
8003457,Krumbach(Schwab)
8003457,KRU
8003460,Krupunder
8003460,Hamburg-Krupunder
8003461,Kuchen
8003462,Euskirchen-Kuchenheim
8003467,Külte-Wetterburg
8003469,Künsebeck
8003470,Küntrop
8003472,Küps
8003474,Kiel-Hassee CITTI-PARK
8003476,Kulmbach
8003476,KU
8003477,Kiel-Elmschenhagen
8003478,Kupfermühle
8003479,Kronshagen
8003480,Kuppenheim
8003481,Kusel
8003481,KUS
8003483,Kutzenhausen
8003484,Kyllburg
8003485,Laaber
8003486,Bad Laasphe
8003486,Laasphe Bad
8003487,Hannover Messe/Laatzen
8003487,HML
8003487,LaatzenHannoverMesse
8003487,Hannover Messe/Laatz
8003487,Hanovre Laatzen foir
8003488,Laberweinting
8003489,Ladenburg
8003490,Lagerlechfeld
8003490,Untermeitingen-Lager
8003490,Graben-Lagerlechfeld
8003491,Ibbenbüren-Laggenbeck
8003493,Bad Laasphe-Niederlaasphe
8003494,Lahr(Schwarzw)
8003494,LR
8003495,Laineck
8003495,Bayreuth-Laineck
8003497,Lambrecht(Pfalz)
8003498,Lambsheim
8003503,Lampertheim
8003504,Lampertsmühle-Otterbach
8003504,Otterbach-Lampertsmühle
8003506,Landau(Isar)
8003507,Landau(Pfalz)Süd
8003508,Landau(Pfalz)West
8003512,Landsberg(Lech)
8003512,LL
8003514,Landshut(Bay)Süd
8003515,Landstuhl
8003516,Landsweiler-Reden
8003518,Hamburg Landungsbrücken
8003519,Hamburg Landwehr
8003520,Lang Göns
8003521,Langdorf
8003522,Langelsheim
8003523,Langen(Hess)
8003524,Langenargen
8003525,Langenau(Württ)
8003526,Langen-Flugsicherung
8003528,Langenbach(Oberbay)
8003529,Velbert-Langenberg
8003532,Langenbrand
8003532,Forbach-Langenbrand
8003533,Bad Schönborn Süd
8003533,Schönborn Süd Bad
8003539,Langenfeld(Rhld)-Berghausen
8003540,Langenfeld(Rhld)
8003541,Hamburg-Langenfelde
8003542,Langenhagen Pferdemarkt
8003543,Langenhahn
8003544,Langenhorn(Schlesw)
8003545,Langenhagen Mitte
8003547,Langenneufnach Bf
8003548,Langenprozelten
8003550,Langenselbold
8003551,Langenwang(Schwab)
8003551,Fischen-Langenwang
8003552,Langenzenn
8003553,Langerwehe
8003554,Langlau
8003558,Langsdorf(Oberhess)
8003558,Lich-Langsdorf
8003559,Babenhausen Langstadt
8003559,Langstadt Babenhaus.
8003560,Langweid(Lech)
8003562,Lauchringen West
8003563,Lathen
8003567,Laubendorf
8003568,Laubenheim(Nahe)
8003569,Lauchheim
8003571,Laudenbach(Bergstr)
8003572,Laudenbach(Württ)
8003572,Weikersheim-Laudenb.
8003573,Laudenbach am Main
8003576,Lauenbrück
8003577,Lauenburg(Elbe)
8003578,Lauenförde-Beverungen
8003580,Lauf(links Pegnitz)
8003581,Lauf(rechts Pegnitz)
8003582,Laufach
8003584,Laufen(Oberbay)
8003585,Laufenburg(Baden)
8003586,Laufenburg(Baden)Ost
8003587,Lauf West
8003588,Lauffen(Neckar)
8003589,Lauingen
