IBNR,Station Name
8000163,Tuttlingen
8000163,TUT
8000164,Herne
8000164,HER
8000165,Hervest-Dorsten
8000166,Herzberg(Harz)
8000167,Hesepe
8000168,Uelzen
8000168,UE
8000169,Hildesheim Hbf
8000169,HI
8000170,Ulm Hbf
8000170,UL
8000170,Ulma(Ulm)
8000171,Unna
8000171,UN
8000172,Höchst(Odenw)
8000173,Wunsiedel-Holenbrunn
8000173,WUN
8000174,Viersen
8000174,VIE
8000175,Völklingen
8000175,VK
8000176,Homburg(Saar)Hbf
8000176,HOM
8000177,Horb
8000177,HOR
8000178,Horrem
8000178,Kerpen-Horrem
8000180,Waiblingen
8000180,WN
8000181,Husum
8000181,NF
8000182,Immendingen
8000183,Ingolstadt Hbf
8000183,IN-
8000185,Gifhorn
8000185,GF
8000186,Iserlohn
8000186,IS
8000187,Wallau(Lahn)
8000187,Biedenkopf-Wallau
8000188,Jülich
8000188,JÜL
8000189,Kaiserslautern Hbf
8000189,KL
8000190,Kaldenkirchen
8000190,Nettetal-Kaldenkirch
8000191,Karlsruhe Hbf
8000191,KA
8000191,Carlsruhe
8000192,Wanne-Eickel Hbf
8000192,WAN
8000192,Herne-WanneEickelHbf
8000193,Kassel Hbf
8000193,Cassel R.F.A.
8000194,Kaufbeuren
8000194,KF
8000195,Kaufering
8000196,Warburg(Westf)
8000196,WAR
8000197,Kempten(Allgäu)Hbf
8000197,KE
8000198,Kettwig
8000199,Kiel Hbf
8000199,KI
8000201,Kirchenlaibach
8000203,Kißlegg
8000204,Weiden(Oberpf)
8000204,WEN
8000205,Kleve
8000205,KLE
8000206,Koblenz Hbf
8000206,KO
8000206,Coblence
8000206,Coblenza
8000206,Coblenz
8000207,Köln Hbf
8000207,Colonia(Köln)
8000208,Köln-Ehrenfeld
8000209,Köln-Mülheim
8000210,Korbach
8000210,KB
8000211,Krefeld Hbf
8000211,KR
8000212,Krefeld-Oppum
8000213,Kreiensen
8000214,Kreuztal
8000215,Lage(Lippe)
8000216,Landau(Pfalz)Hbf
8000216,LD
8000217,Landshut(Bay)Hbf
8000217,LA
8000218,Weilburg
8000218,WEL
8000220,Weilheim(Oberbay)
8000220,WM
8000221,Lauda
8000222,Lauterbach(Hess)Nord
8000225,Leer(Ostfriesl)
8000225,LER-
8000226,Lehrte
8000227,Letmathe
8000227,Iserlohn-Letmathe
8000228,Lichtenfels
8000228,LIF
8000229,Limburg(Lahn)
8000229,LM
8000230,Lindau Hbf
8000230,LI
8000231,Wertheim
8000233,Löhne(Westf)
8000234,Lollar
8000235,Ludwigsburg
8000235,LB
8000236,Ludwigshafen(Rh)Hbf
8000236,LU
8000237,Lübeck Hbf
8000237,HL
8000237,Lubecca
8000238,Lüneburg
8000238,LG
8000239,Lünen Hbf
8000239,LÜN
8000240,Mainz Hbf
8000240,MZ
8000240,Mayence
8000240,Magonza
8000241,Mainz-Bischofsheim
8000242,Wesel
8000242,WES
8000243,Malsfeld
8000244,Mannheim Hbf
8000244,MA
8000245,Westerburg
8000245,WEB
8000247,Marktredwitz
8000247,MAK
8000248,Mayen Ost
8000249,Memmingen
8000249,MM
8000250,Wiesbaden Hbf
8000250,WI
8000251,Witten Hbf
8000251,WIT
8000252,Minden(Westf)
8000252,MI
8000253,Mönchengladbach Hbf
8000253,MG
8000254,Wörth(Rhein)
8000255,Wolfenbüttel
8000255,WF
8000256,Rohrbach(Ilm)
8000256,Wolnzach Bahnhof-
8000257,Worms Hbf
8000257,WO
8000258,Mühldorf(Oberbay)
8000258,MÜ
8000258,Mühldorf am Inn Bahnhof
8000259,Mülheim(Ruhr)Hbf
8000259,MH
8000260,Würzburg Hbf
8000260,WÜ
8000260,Wurtzbourg
8000261,München Hbf
8000261,M
8000261,Munich (München)
8000261,Monaco di Baviera
8000262,München Ost
8000263,Münster(Westf)Hbf
8000263,MS
8000264,Mosbach-Neckarelz
8000265,Neckargemünd
8000266,Wuppertal Hbf
8000266,W
8000267,Neuenmarkt-Wirsberg
8000268,Wunstorf
8000269,Neukirchen(b Sulzb)
8000271,Neumünster
8000271,NMS
8000272,Neunkirchen(Saar)Hbf
8000272,NK
8000273,Muldenberg Floßplatz
8000274,Neuss Hbf
8000274,NE
8000275,Neustadt(Weinstr)Hbf
8000275,NW
8000276,Neuwied
8000276,NR
8000277,Nidda
8000278,Niederlahnstein
8000278,Lahnstein Nieder
8000279,Nienburg(Weser)
8000279,NI
8000280,Nördlingen
8000280,NÖ
8000281,Frankfurt(M)Flughafen
8000281,Francfort Aeroport
8000281,Frankfurt Flughafen-
8000281,FFMF
8000281,Flughafen Frankfurt
8000281,Frankfurt(Main)Flugh
8000282,Nordstemmen
8000283,Northeim(Han)
8000283,NOM
8000284,Nürnberg Hbf
8000284,Neurenberg C
8000284,Nuremberg C
8000284,Norimberga C
8000285,Rödermark-Ober Roden
8000285,Roden Ober
8000286,Oberhausen Hbf
8000286,OB-
8000287,Oberkotzau
8000288,Wiesbaden-Biebrich
8000289,Zwickau Zentrum
8000290,Offenburg
8000290,OG
8000291,Oldenburg(Oldb)
8000291,OL
8000292,Zwickau Stadthalle
8000294,Osnabrück Hbf
8000294,OS-
8000295,Osterburken
8000297,Paderborn Hbf
8000297,PB
8000298,Passau Hbf
8000298,PA
8000299,Pforzheim Hbf
8000299,PF
8000301,Plattling
8000301,PLAT
8000302,Plochingen
8000302,PLO
8000303,Igel(Gr)
8000304,Quakenbrück
8000306,Rastatt
8000306,RA
8000307,Recklinghausen Hbf
8000307,RE-
8000308,Ludwigshafen(Rhein) BASF Mitte
8000309,Regensburg Hbf
8000309,R
8000309,Ratisbonne
8000309,Ratisbona
8000309,Ratisbon
8000310,Remagen
8000311,Remscheid-Lennep
8000312,Rendsburg
8000312,RD
8000313,Renningen
8000314,Reutlingen Hbf
8000314,RT
8000315,Rheda-Wiedenbrück
8000316,Rheine
8000317,Rheinhausen
8000318,Rheydt Hbf
8000318,RY
8000318,Mönchengladbach-Rhy
8000319,Rohrbach(Saar)
8000319,St Ingbert-Rohrbach
8000320,Rosenheim
8000320,RO
8000321,Rotenburg(Wümme)
8000321,ROW
8000322,Rottweil
8000322,RW
8000323,Saarbrücken Hbf
8000323,SB
8000323,Sarrebruck
8000324,Boppard Süd
8000325,Salzgitter-Ringelheim
8000326,Schifferstadt
8000327,Wahlheim
8000328,Schnabelwaid
8000329,Schwäbisch Gmünd
8000329,GD
8000330,Schwäbisch Hall-Hessental
8000330,Schwäbisch Hall-Hess
8000331,Andernach
8000332,Frankenthal Hbf
8000332,FT
8000333,Hausach
8000334,Jübek
8000335,Leese-Stolzenau
8000336,Leutkirch
8000337,Marburg(Lahn)
8000337,MR
8000338,Mindelheim
8000338,MN
8000339,Mühlacker
8000340,Freimersheim(Rheinh)
8000342,Weetzen
8000342,Ronnenberg-Weetzen
8000343,Schöneck(Vogtl) Ferienpark
8000344,Wittingen
8000346,Borken(Westf)
8000346,BOR-
8000347,Glauburg-Stockheim
8000347,Stockheim(Oberhess)
8000348,Stolberg(Rheinl)Hbf
8000349,Offenbach(Main)Hbf
8000349,OF
8000350,Alsfeld(Oberhess)
8000350,ALS
8000351,Altenkirchen(Westerwald)
8000351,AK
8000352,Bad Gandersheim
8000352,Gandersheim Bad
8000353,Balingen(Württ)
8000353,BL
8000354,Bassum
8000355,Bergheim(Erft)
8000355,BM
8000356,Villingen-Schwenningen Eisstadion
8000357,Bierbach
8000358,Bochum-Langendreer
8000359,Bodenheim
8000360,Bürstadt
8000362,Dieburg
8000362,DI
8000363,Dieringhausen
8000363,Gummersbach-Dieringh
8000364,Vienenburg
8000365,Dombühl
8000366,Villingen(Schwarzw)
8000366,VS
8000367,Duisburg-Meiderich Süd
8000368,Wabern(Bz Kassel)
8000369,Eberbach
8000370,Ehrang
8000371,Einöd(Saar)
8000372,Enkenbach
8000373,Eppingen
8000374,Freinsheim
8000375,Gau Algesheim
8000376,Germersheim
8000376,GER
8000377,Weinheim(Bergstr)
8000378,Wemmetsweiler Rathaus
8000379,Wittlich Hbf
8000379,WIL-
8000380,Goldshöfe
8000381,Grötzingen
8000381,Karlsruhe-Grötz. Bf
8000382,Gronau(Westf)
8000383,Wetzlar
8000383,WZ
8000384,Groß-Umstadt Wiebelsbach
8000385,Gunzenhausen
8000385,GUN
8000386,Haiger
8000387,Hergatz
8000388,Hilden
8000389,Hochdorf(b Horb)
8000389,Nagold-Hochdorf
8000390,Hochneukirch
8000390,Jüchen-Hochneukirch
8000391,Holzminden
8000391,HOL
8000392,Holzwickede
8000393,Villingen-Schwenningen Hammerstatt
8000400,Hungen
8000402,Karthaus
8000402,Konz-Karthaus
8000403,Aachen Süd(Gr)
8000403,ACSG
8000404,Aachen West
8000406,Aachen-Rothe Erde
8000409,Kempen(Niederrhein)
8000410,Abensberg
8000412,Achern
8000413,Achim
8000414,Achmer
8000416,Achterwehr
8000418,Adelebsen
8000419,Adelschlag
8000420,Adelsdorf(Mittelfr)
8000420,Neuhof/Zenn-Adelsdorf
8000423,Adelsheim Nord
8000424,Adelsheim Ost
8000427,Kirchen
8000430,Kaarster See
8000431,Affaltrach
8000431,Obersulm-Affaltrach
8000432,Kaarst Mitte/Holzbüttgen
8000432,Holzbüttgen/Kaarst
8000432,Kaarst Mitte/Holzbü.
8000433,Agatharied
8000433,Hausham-Agatharied
8000434,Agathenburg
8000435,Kirchhain(Bz Kassel)
8000436,Aha
8000436,Schluchsee-Aha
8000437,Ahaus
8000437,AH
8000438,Kaarst IKEA
8000440,Schnega
8000441,Ahlen(Westf)
8000442,Ahlhorn
8000443,Ahlten
8000443,Lehrte-Ahlten
8000445,Soltendieck
8000446,Ahrensburg
8000448,Ahrweiler
8000448,AW
8000448,Bad Neuenahr-Ahrweil
8000449,Ahrweiler Markt
8000449,Bad Neuenahr-Ahrw-Ma
8000451,Aich(Niederbay)
8000451,Aich Niederbayern Bf
8000451,Bodenkirchen-Aich Bf
8000452,Aichach
8000452,AIC
8000453,Freiburg Messe/Universität
8000454,Aichstetten
8000456,Tuttlingen Nord
8000457,Ahnatal Casselbreite
8000459,Ainring
8000462,Münster-Albachten
8000463,Albbruck
8000464,Albersdorf
8000466,Albersweiler(Pfalz)
8000468,Albig
8000469,Nürnberg-Herrnhütte
8000471,Albshausen
8000471,Solms-Albshausen
8000473,Albstadt-Ebingen
8000474,Albstadt-Laufen Ort
8000475,Albstadt-Lautlingen
8000477,Aldekerk
8000477,Kerken-Aldekerk
8000479,Kitzingen
8000479,KT
8000480,Ahrensburg-Gartenholz
8000481,Aldingen(b Spaichingen)
8000482,Aletshausen
8000483,Alfeld(Leine)
8000488,Algermissen
8000489,Aligse
8000491,Altenglan
8000492,Allendorf(Dillkr)
8000492,Haiger-Allendorf
8000493,Allendorf(Eder) Bf
8000495,Alfter-Impekoven
8000496,Allensbach
8000498,Allersberg(Rothsee)
8000499,Allmendingen
8000500,Alpen
8000501,Alpirsbach
8000502,Alsdorf-Annapark
8000503,Biblis
8000504,Altdorf West
8000505,Alsenz
8000506,Alsheim
8000507,Alsdorf-Busch
8000508,Altbach
8000508,Esslingen Altbach
8000509,Altdorf(b Nürnberg)
8000510,Alsdorf Poststraße
8000511,Alte Veste
8000511,Fürth Alte Veste
8000512,Hamburg Alte Wöhr
8000512,Alte Wöhr
8000513,Altena(Westf)
8000513,AL
8000514,Altenahr
8000515,Altenau(Bay)
8000515,Saulgrub-Altenau
8000517,Altenbamberg
8000518,Altenberge
8000520,Felsberg-Altenbrunslar
8000520,Altenbrunslar
8000521,Alsdorf-Kellersberg
8000522,Hude
8000524,Altenerding
8000525,Altenfeld(Rhön)
8000525,Gersfeld-Altenfeld
8000526,Altengörs
8000527,Alsdorf-Mariadorf
8000530,Altenhasungen
8000530,Wolfhagen-Altenhasungen
8000532,Lennestadt-Altenhundem
8000532,Altenhundem
8000533,Altenmarkt(Alz)
