clear_station_name,lat,long
grüntal-wittlensweiler,48.47157,8.45046
dornstetten-aach,48.46876,8.47811
dornstetten,48.46675,8.5007
schopfloch(b freudenstadt),48.45611,8.54967
bittelbronn,48.44332,8.58823
horb-heiligenfeld,48.46633,8.66087
hochdorf(b horb),47.16698,8.28934
eutingen nord,48.47789,8.74879
ergenzingen,48.49387,8.80926
pullach,48.05636,11.52329
großhesselohe isartalbf,,
belleben,51.67397,11.63523
drohndorf-mehringen,51.72687,11.5127
frose,51.79627,11.37348
nachterstedt-hoym,51.78992,11.31944
gatersleben,51.82371,11.28718
hedersleben-wedderstedt,51.85812,11.25431
wegeleben,51.88444,11.1766
heudeber-danstedt,51.91415,10.88689
wernigerode elmowerk,51.83837,10.79194
darlingerode,51.85002,10.73437
ilsenburg,51.86592,10.67973
ebelsbach-eltmann,49.98418,10.67474
zeil,50.00978,10.59457
schonungen,50.05194,10.304
schweinfurt mitte,49.48492,8.41904
waigolshausen,49.96476,10.12073
eßleben,49.94465,10.07707
bergtheim,49.89872,10.06817
seligenstadt(b würzburg),49.85606,10.10375
würzburg-zell,49.8107,9.86755
thüngersheim,49.88053,9.84081
himmelstadt,49.92601,9.8004
wernfeld,50.02491,9.72596
emmerke,52.16692,9.86904
berlin-schöneweide (s),52.47187,13.44467
berlin südkreuz (s),52.47554,13.36634
ritterhude,53.17899,8.75133
oldenbüttel,54.17231,9.45086
lübberstedt,53.33505,8.81019
stubben,53.73336,10.43504
lunestedt,53.43737,8.73474
loxstedt,53.47337,8.65268
bremerhaven-wulsdorf,53.50603,8.59851
frankfurt hbf (tief),50.11208,8.68341
wörth(rhein) badallee,49.0585,8.2497
wörth(rhein) rathaus,49.05973,8.08307
wörth(rhein) bürgerpark,49.05046,8.28592
wörth(rhein) bienwaldhalle,49.0498,8.2608
wörth(rhein) alte bahnmeisterei,49.04869,8.26704
"entenfang, karlsruhe",49.01019,8.35849
"kühler krug, karlsruhe",49.00425,8.36868
"weinbrennerplatz, karlsruhe",49.0056,8.37677
"otto-sachs-straße, karlsruhe",49.00346,8.38933
"mathystraße, karlsruhe",49.00281,8.39285
"karlstor/bundesgerichtshof, karlsruhe",49.01238,8.38819
"ettlinger tor/staatstheater, karlsruhe",49.00536,8.40459
"rüppurrer tor, karlsruhe",49.00097,8.41057
"ostendstraße, karlsruhe",49.0068,8.41764
"wolfartsweierer straße, karlsruhe",49.00531,8.42526
"schloss gottesaue, karlsruhe",49.00455,8.42673
stuttgart flughafen/messe,48.6922,9.21706
stuttgart-österfeld,48.735,9.11961
freckleben,51.70278,11.54949
nürnberg-erlenstegen,49.47438,11.13058
behringersdorf,49.48029,11.20016
ludwigshöhe,49.81664,8.34298
langenorla ost,50.7401,11.57906
langenorla west,50.7401,11.57906
freienorla,50.76966,11.543
orlamünde,50.77509,11.53158
rothenstein(saale),48.96653,11.05733
jeber-bergfrieden,51.98472,12.35337
medewitz(mark),51.14584,14.28444
wiesenburg(mark),52.11389,12.45337
baitz,52.17314,12.67658
brück(mark),57.51078,12.70236
borkheide,52.23099,12.85534
beelitz-heilstätten,52.25854,12.92739
potsdam-rehbrücke,52.35928,13.09894
berlin-charlottenburg,52.51915,13.30639
berlin alexanderplatz,52.52361,13.41252
zeesen,52.27631,13.6322
bestensee,52.24137,13.65019
groß köris,52.15941,13.6537
halbe,52.10663,13.70128
oderin,52.07529,13.72667
brand tropical islands,52.02708,13.72623
schönwalde(spreewald),51.98032,13.76617
lubolz,51.96165,13.83157
luckaitztal,51.68483,14.02538
altdöbern,51.6478,14.02381
großräschen,51.58782,14.01184
schönebeck süd,52.01964,11.74208
schönebeck(elbe),52.01964,11.74208
schönebeck-frohse,52.03355,11.71453
magdeburg hasselbachplatz,52.12043,11.62787
magdeburg-rothensee,52.18225,11.66291
zielitz ort,52.28793,11.67875
tangerhütte,52.43443,11.80874
calberlah,52.42371,10.61449
leiferde(b gifhorn),52.4378,10.43747
meinersen,52.47497,10.36013
dedenhausen,52.43296,10.22796
immensen-arpke,52.39505,10.06872
leipzig hbf (tief),51.33443,12.40757
leipzig mdr,51.3452,12.38594
leipzig-connewitz,51.31268,12.37399
böhlen(leipzig),51.20316,12.3872
heilbronn finanzamt,49.14075,9.23522
heilbronn friedensplatz,49.14075,9.22631
heilbronn harmonie,49.14266,9.22325
heilbronn harmonie/kunsthalle,49.14255,9.22262
heilbronn theater,49.14623,9.22011
heilbronn technisches schulzentrum,49.14864,9.22134
heilbronn industrieplatz,49.15453,9.21763
heilbronn hans-rießer-straße,49.16428,9.22257
heilbronn kaufland,49.12507,9.22327
neckarsulm süd,49.19531,9.19873
neckarsulm mitte,49.19282,9.22539
bad friedrichshall-kochendorf,49.22582,9.21887
bad wimpfen im tal,49.23006,9.15758
bad wimpfen,49.23006,9.15758
bad wimpfen-hohenstadt,49.24332,9.1369
bad rappenau kurpark,49.24034,9.10778
freiburg-herdern,48.00822,7.86061
freiburg-zähringen,48.02593,7.86149
buchholz(baden),53.32907,9.88127
batzenhäusle,48.04591,7.5832
siegen-geisweid,50.91298,8.01056
birresborn,50.17515,6.62484
mürlenbach,50.15073,6.59745
densborn,50.12454,6.60111
usch-zendscheid,50.1023,6.60203
st thomas,42.77896,-81.1932
kyllburg,50.04127,6.59084
bitburg-erdorf,50.00073,6.56949
hüttingen,49.96868,6.58735
philippsheim,49.95385,6.62707
speicher,47.41071,9.44337
auw an der kyll,49.90107,6.61466
daufenbach,49.87794,6.6421
kordel,49.83999,6.63127
günzach,47.82315,10.43625
martinszell(allgäu),47.62562,10.28024
büttgen,51.19621,6.60775
kronberg süd,50.17955,8.5107
dortmund-kirchderne,51.55636,7.50682
lünen hbf,51.6178,7.52899
bork(westf),40.78833,-74.01526
selm-beifang,51.68156,7.4731
selm,51.6983,7.46733
lüdinghausen,51.77154,7.44754
bonn helmholtzstraße,50.72032,7.05513
bonn-duisdorf,50.71511,7.04548
alfter-impekoven,50.70601,7.02096
alfter-witterschlick,50.69135,7.02288
meckenheim industriepark,50.64346,7.02736
sachsen(b ansbach),49.28948,10.66038
petersaurach nord,49.31778,10.7461
raitersaich,49.37468,10.84451
roßtal wegbrücke,49.39415,10.88536
anwanden,49.40891,10.93171
oberasbach,49.43229,10.97006
unterasbach,49.41745,10.9815
erlau(sachs),51.00641,12.92433
schweikershain,51.04685,12.94925
waldheim,51.07381,13.02804
steina,51.19961,14.05645
limmritz(sachs),51.11712,13.05085
zschaitz,51.16574,13.16072
ostrau,51.20076,13.16232
stauchitz,51.24384,13.21492
seerhausen,51.2631,13.25761
frohburg,51.05638,12.55341
neukirchen-wyhra,47.25354,12.27796
petergrube,51.09795,12.50586
borna(leipzig),51.12227,12.49492
lobstädt,51.14033,12.4487
großdeuben,51.24312,12.38496
markkleeberg-großstädteln,51.26615,12.3746
markkleeberg,51.28069,12.3768
leipzig wilhelm-leuschner-platz,51.33487,12.37505
leipzig nord,51.34809,12.37455
varnsdorf pivovar kocour,50.91994,14.603
varnsdorf stare nadr,,
varnsdorf,50.91183,14.61942
großschönau(sachs),50.89525,14.66916
hainewalde,50.90667,14.70025
mittelherwigsdorf,50.91661,14.76271
frankfurt-berkersheim,50.17305,8.69782
grafing stadt,48.04441,11.96816
gauting,48.06703,11.38053
dietzenbach mitte,48.79031,2.17982
offenbach(main) kaiserlei,50.10848,8.73696
kempen(niederrhein),51.41788,6.49238
aldekerk,51.44176,6.41911
nieukerk,51.45562,6.3746
fürth-klinikum,49.48255,10.96925
eltersdorf,49.54707,10.98935
jägersfreude,49.26317,7.00582
sulzbach(saar)altenwald,49.11954,12.34815
friedrichsthal(saar),49.32082,7.08914
friedrichsthal(saar) mitte,49.32082,7.08914
bildstock,49.33267,7.09596
wiebelskirchen,49.3723,7.18533
oberlinxweiler,49.4539,7.15019
baltersweiler,49.49619,7.1638
hofeld,54.19003,9.98785
namborn,49.5214,7.14004
walhausen(saar),49.55984,7.1267
ladenburg,49.47239,8.61084
heddesheim/hirschberg,49.50568,8.6034
weinheim-lützelsachsen,49.52737,8.66655
weinheim(bergstr)hbf,49.55224,8.66555
weinheim-sulzbach,49.57779,8.66093
hemsbach,49.59199,8.64747
laudenbach(bergstr),49.61158,8.6551
heppenheim(bergstr),49.74099,8.17276
bensheim,49.68278,8.62208
hähnlein-alsbach,49.74188,8.6192
berlin hbf,39.75954,-89.89952
oranienburg,52.75592,13.24484
waldhausen(b schorndorf),49.50848,12.63993
mögglingen(gmünd),48.82173,9.96424
essen-horst,51.43727,7.10114
legelshurst,48.56804,7.91305
kork,51.89832,-8.47281
berlin wuhletal,52.5036,13.57222
wuppertal-hahnenfurth/düssel,51.24827,7.04347
berlin-lankwitz,52.43895,13.3534
berlin gesundbrunnen(s),52.55619,13.3771
berlin karl-bonhoeffer-nervenklinik,52.57921,13.33314
hann münden,51.41482,9.64899
arenshausen,51.37708,9.97443
uder,51.36277,10.07241
silberhausen,51.31093,10.33775
dachrieden,51.2643,10.44977
hamburg-harburg(s),53.46087,9.97842
hamburg-iserbrook,53.57734,9.81697
hamburg-othmarschen,53.55283,9.89075
hamburg-ottensen,53.55419,9.92842
hamburg-altona(s),53.56804,9.94813
müssen,53.49531,10.56003
schwanheide,53.42897,10.68472
boizenburg(elbe),53.37403,10.72234
brahlstorf,53.36114,10.95384
pritzier,53.37853,11.07958
hagenow land,53.43244,11.19372
kirch-jesar,53.44179,11.27589
zachun,51.09536,23.19992
holthusen,53.54027,11.35371
schwerin süd,56.91001,14.85338
rottershausen,50.16542,10.16076
münnerstadt,50.24898,10.19445
burglauer,50.27617,10.17989
mühlenbeck-mönchmühle,52.65039,13.39333
schönfließ(b oranienburg),52.65616,13.34008
dortmund-somborn,51.48564,7.34334
dortmund-germania,51.51661,7.45829
dortmund-marten süd,51.51013,7.38435
dortmund west,51.52598,7.53459
dortmund möllerbrücke,51.50724,7.45082
dortmund-körne west,51.51558,7.50242
dortmund-körne,51.51558,7.50242
dortmund knappschaftskrankenhaus,51.52238,7.53442
frankfurt am main - stadion,50.07534,8.65364
zeppelinheim,50.03547,8.61346
heidenheim-schnaitheim,48.70666,10.16263
itzelberg,48.73087,10.13592
königsbronn,48.74287,10.11234
thalheim(erzgeb) mitte,50.7035,12.84902
meinersdorf(erzgeb),50.71986,12.88181
burkhardtsdorf mitte,50.73462,12.91743
burkhardtsdorf,50.73462,12.91743
kemtau,50.73544,12.96172
dittersdorf,50.6442,11.81736
einsiedel brauerei,49.92765,9.5034
einsiedel august-bebel-platz,50.76818,12.97287
einsiedel,50.77331,12.97434
einsiedel hp gymnasium,50.78303,12.9734
chemnitz-erfenschlag ost,50.78824,12.95046
chemnitz erfenschlag,50.78824,12.95046
chemnitz-reichenhain,50.79892,12.9588
chemnitz technopark,50.81055,12.92657
chemnitz tu campus,50.814,12.93059
chemnitz rosenbergstraße,50.81783,12.92783
chemnitz stadlerplatz,50.82124,12.92687
chemnitz bernsbachplatz,50.82538,12.92506
chemnitz annenstraße,50.82895,12.92351
chemnitz zentralhaltestelle,50.8577,12.92944
chemnitz roter turm,50.83421,12.92159
chemnitz theaterplatz,50.8383,12.92489
chemnitz hbf (bahnhofstraße),50.83251,12.92453
freiburg klinikum,48.00891,7.83292
freiburg messe/universität,47.99414,7.84547
freiburg-landwasser,48.0245,7.81204
hugstetten,48.05457,7.78043
reichenschwand,49.51389,11.36998
rodgau-rollwald,49.99027,8.84745
frankfurt-höchst,50.09909,8.54388
forsthaus,50.89375,14.00749
wickrath,51.12966,6.41306
herrath,51.10348,6.36089
brachelen,51.00945,6.2303
lindern,52.84464,7.78064
jübek,54.55686,9.39761
schleswig,54.51603,9.56634
neu-ulm,48.39578,10.001
finningerstraße,48.39232,10.01936
vöhringen,48.27751,10.07874
bellenberg,48.25321,10.09551
altenstadt(iller),48.18944,10.09875
stederdorf(kr uelzen),52.91033,10.59606
wieren,52.89257,10.65356
soltendieck,52.87263,10.76146
schnega,52.88931,10.89135
hohenwulsch,52.67221,11.60045
hadmersleben,51.99003,11.30165
langenweddingen,52.03691,11.52236
osterweddingen,52.04141,11.58257
dodendorf,52.03764,11.61605
beyendorf,52.05805,11.63332
fröndenberg-frömern,51.50244,7.74145
